class,feature,n_positive,n_negative,class_min,class_p10,class_p25,class_median,class_p75,class_p90,class_max,class_mean,class_std,other_min,other_p10,other_p25,other_median,other_p75,other_p90,other_max,other_mean,other_std,median_gap,auc,strength,direction,recommendation
01_Good,valid_profile_count,50,250,1.0,5.800000000000001,16.5,64.0,246.75,485.50000000000006,788.0,164.8,206.8054157898192,0.0,0.0,2.0,54.5,181.75,310.0,822.0,112.672,143.82560417394396,9.5,0.58004,0.16008,HIGH,DROP
02_Out_of_Focus,axis_aligned_line_ratio,50,250,0.0,0.0,0.009994425288269534,0.014281685778993605,0.01774966899943257,0.15632821326926105,1.0,0.06051685168771598,0.15392132258392974,0.0,0.0,0.008326464174292303,0.011594204886506417,0.014690881246462695,0.0214247658331185,1.0,0.06672806821582394,0.2207227162198519,0.0026874808924871874,0.5986,0.19720000000000004,HIGH,DROP
02_Out_of_Focus,background_mad,50,250,1.4826,7.26474,11.8608,36.323699999999995,51.891,57.96966,62.2692,32.379984,20.52072653161539,1.4826,5.9304,26.686799999999998,56.3388,60.7866,62.2692,69.6822,44.32974,21.94538490230873,-20.015100000000004,0.31504,0.36992,LOW,DROP
02_Out_of_Focus,background_median,50,250,3.0,10.8,22.25,71.0,103.5,110.30000000000001,123.0,62.18,40.93785045651518,1.0,7.0,50.5,111.5,123.0,127.0,133.0,87.668,45.0904621400136,-40.5,0.30352,0.39296,LOW,DROP
02_Out_of_Focus,bright_area_ratio,50,250,0.0,8.58306884765625e-06,9.655952453613281e-05,0.007927417755126953,0.012548208236694336,0.034276962280273444,0.047771453857421875,0.011413040161132813,0.013936611210620035,0.0,0.0,0.00014925003051757812,0.0028700828552246094,0.013275146484375,0.025005722045898435,0.03441619873046875,0.007997135162353515,0.010080717117863281,0.005057334899902344,0.55728,0.11456,HIGH,DROP
02_Out_of_Focus,diagonal_line_ratio,50,250,0.0,0.0,0.7830882352941176,0.9812916716332364,0.98434260986733,0.9861143747006539,0.9907640638119227,0.7531748118537129,0.38424791801358166,0.0,0.0,0.9805821827455808,0.9851055001396809,0.9875673371446645,0.9908034106961635,1.0,0.8599689560620067,0.3209492182924744,-0.0038138285064445165,0.30796,0.38408,LOW,DROP
02_Out_of_Focus,elongated_angle_consistency,50,250,0.0,0.0,0.0,0.30439426761293464,0.5275872780801776,0.7503351624754026,0.9805806781518089,0.31081208219600903,0.29892942112454307,0.0,0.0,0.0,0.13527346002167276,0.4999347126989543,0.8754415328175122,1.0,0.28307006892326725,0.33369581795866116,0.16912080759126188,0.53608,0.07216,HIGH,DROP
02_Out_of_Focus,elongated_angle_std,50,250,5.67349076218429,21.713324678489805,32.397277695039534,44.21804837302203,180.0,180.0,180.0,81.12345873153232,66.40321090432938,0.0,14.775139907026198,33.73348980151724,57.309117687550604,180.0,180.0,180.0,91.00555605202162,69.96824441747599,-13.091069314528575,0.46392,0.07216,LOW,DROP
02_Out_of_Focus,elongated_star_count,50,250,0.0,0.0,1.0,9.5,20.0,27.1,76.0,12.46,14.739348696601219,0.0,0.0,0.0,5.0,15.0,23.099999999999994,253.0,10.168,19.458565620312307,4.5,0.57484,0.14968000000000004,HIGH,DROP
02_Out_of_Focus,elongated_star_ratio,50,250,0.0,0.0,0.06418773042813963,0.12627713920817368,0.20789473684210524,0.502,1.0,0.18335489446699044,0.1973050914585372,0.0,0.0,0.0,0.04888592113586842,0.09523809523809523,0.19084033613445375,1.0,0.08309861106981614,0.1280082682501928,0.07739121807230526,0.70964,0.4192800000000001,HIGH,DROP
