class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
01_Good,06_Satellite,line_angle_std,0.41400000000000003,0.1467787450552702,0.22,0.55,0.25200000000000006,0.22859571299567275,0.040000000000000036,0.56,HIGH,0.6,0.2925404287004328
01_Good,06_Satellite,long_line_count,0.597,0.15989371469823324,0.345,0.8,0.318,0.19691622584236174,0.030000000000000027,0.6000000000000001,HIGH,0.8,0.3524083774157638
01_Good,06_Satellite,longest_line_ratio,0.532,0.08158431221748455,0.385,0.605,0.156,0.07989993742175269,0.020000000000000018,0.22999999999999998,HIGH,0.8,0.2882100062578247
01_Good,06_Satellite,max_aspect_ratio,0.425,0.06395310782127794,0.305,0.49,0.15,0.12790621564255586,0.020000000000000018,0.39,LOW,1.0,0.3107093784357444
01_Good,06_Satellite,max_streak_area_ratio,0.356,0.058855755878248636,0.28,0.43,0.288,0.11771151175649727,0.14,0.43999999999999995,LOW,1.0,0.4098288488243503
01_Good,06_Satellite,max_streak_aspect_ratio,0.072,0.09152048950918039,0.0,0.24,0.8560000000000001,0.18304097901836078,0.52,1.0,LOW,1.0,0.772895902098164
01_Good,06_Satellite,max_streak_length_ratio,0.05600000000000001,0.02727636339397171,0.02,0.09,0.8879999999999999,0.054552726787943394,0.8200000000000001,0.96,LOW,1.0,0.8901447273212056
01_Good,06_Satellite,mean_aspect_ratio,0.396,0.0989141041510259,0.3,0.54,0.24000000000000005,0.1574801574802362,0.020000000000000018,0.4,LOW,0.8,0.3182519842519764
01_Good,06_Satellite,mean_circularity,0.64,0.0525357021462548,0.57,0.72,0.27999999999999997,0.1050714042925096,0.1399999999999999,0.43999999999999995,HIGH,1.0,0.407492859570749
01_Good,06_Satellite,mean_fwhm,0.42600000000000005,0.09286549412995121,0.3,0.53,0.188,0.14510685717773644,0.040000000000000036,0.4,LOW,0.6,0.2720893142822264
01_Good,06_Satellite,mean_hfr,0.362,0.07520638270785265,0.25,0.46,0.27599999999999997,0.1504127654157053,0.07999999999999996,0.5,LOW,1.0,0.38315872345842944
01_Good,06_Satellite,mean_hollowness,0.577,0.07366138744281157,0.5,0.695,0.154,0.14732277488562312,0.0,0.3899999999999999,HIGH,1.0,0.3045677225114377
01_Good,06_Satellite,mean_intensity,0.5119999999999999,0.0762627038597505,0.43,0.64,0.12800000000000003,0.08634813257969161,0.020000000000000018,0.28,HIGH,0.6,0.24496518674203085
01_Good,06_Satellite,mean_star_area,0.438,0.0719444229944198,0.3,0.51,0.132,0.136586968631711,0.020000000000000018,0.4,LOW,0.8,0.2717413031368289
01_Good,06_Satellite,median_eccentricity,0.42400000000000004,0.09112628599915613,0.27,0.52,0.176,0.15919798993705916,0.020000000000000018,0.45999999999999996,LOW,0.6,0.2592802010062941
01_Good,06_Satellite,median_fwhm,0.484,0.09687104830649867,0.36,0.63,0.168,0.10166612021711066,0.020000000000000018,0.28,LOW,0.6,0.26143338797828897
01_Good,06_Satellite,median_fwhm_ratio,0.43,0.08124038404635961,0.3,0.52,0.164,0.13821722034536796,0.020000000000000018,0.4,LOW,0.6,0.25597827796546324
01_Good,06_Satellite,median_hfr,0.434,0.09002221947941522,0.31,0.55,0.18800000000000003,0.12039933554633928,0.040000000000000036,0.38,LOW,0.6,0.2745600664453661
01_Good,06_Satellite,saturated_ratio,0.488,0.09962931295557549,0.355,0.66,0.16,0.1211610498468877,0.020000000000000018,0.32000000000000006,LOW,0.6,0.2558838950153113
01_Good,06_Satellite,sharpness,0.516,0.06086049621881177,0.44,0.61,0.10400000000000002,0.07088018058667739,0.020000000000000018,0.21999999999999997,LOW,0.6,0.23571198194133228
01_Good,06_Satellite,star_count,0.51,0.054037024344425214,0.41,0.56,0.09200000000000005,0.06013318551349165,0.0,0.18000000000000005,HIGH,0.75,0.24788668144865084
