class,feature,fold,auc,strength,direction,n_positive,n_negative
02_Out_of_Focus,longest_line_ratio,1,0.479,0.04200000000000004,LOW,10,50
02_Out_of_Focus,longest_line_ratio,2,0.402,0.19599999999999995,LOW,10,50
02_Out_of_Focus,longest_line_ratio,3,0.473,0.05400000000000005,LOW,10,50
02_Out_of_Focus,longest_line_ratio,4,0.513,0.026000000000000023,HIGH,10,50
02_Out_of_Focus,longest_line_ratio,5,0.346,0.30800000000000005,LOW,10,50
02_Out_of_Focus,max_aspect_ratio,1,0.491,0.018000000000000016,LOW,10,50
02_Out_of_Focus,max_aspect_ratio,2,0.627,0.254,HIGH,10,50
02_Out_of_Focus,max_aspect_ratio,3,0.499,0.0020000000000000018,LOW,10,50
02_Out_of_Focus,max_aspect_ratio,4,0.568,0.1359999999999999,HIGH,10,50
02_Out_of_Focus,max_aspect_ratio,5,0.572,0.1439999999999999,HIGH,10,50
02_Out_of_Focus,max_streak_area_ratio,1,0.508,0.016000000000000014,HIGH,10,50
02_Out_of_Focus,max_streak_area_ratio,2,0.462,0.07599999999999996,LOW,10,50
02_Out_of_Focus,max_streak_area_ratio,3,0.478,0.04400000000000004,LOW,10,50
02_Out_of_Focus,max_streak_area_ratio,4,0.478,0.04400000000000004,LOW,10,50
02_Out_of_Focus,max_streak_area_ratio,5,0.476,0.04800000000000004,LOW,10,50
02_Out_of_Focus,max_streak_aspect_ratio,1,0.303,0.394,LOW,10,50
02_Out_of_Focus,max_streak_aspect_ratio,2,0.159,0.6819999999999999,LOW,10,50
02_Out_of_Focus,max_streak_aspect_ratio,3,0.21,0.5800000000000001,LOW,10,50
02_Out_of_Focus,max_streak_aspect_ratio,4,0.226,0.548,LOW,10,50
02_Out_of_Focus,max_streak_aspect_ratio,5,0.426,0.14800000000000002,LOW,10,50
02_Out_of_Focus,max_streak_length_ratio,1,0.31,0.38,LOW,10,50
02_Out_of_Focus,max_streak_length_ratio,2,0.29,0.42000000000000004,LOW,10,50
02_Out_of_Focus,max_streak_length_ratio,3,0.358,0.28400000000000003,LOW,10,50
02_Out_of_Focus,max_streak_length_ratio,4,0.332,0.33599999999999997,LOW,10,50
02_Out_of_Focus,max_streak_length_ratio,5,0.342,0.31599999999999995,LOW,10,50
02_Out_of_Focus,mean_aspect_ratio,1,0.752,0.504,HIGH,10,50
02_Out_of_Focus,mean_aspect_ratio,2,0.73,0.45999999999999996,HIGH,10,50
02_Out_of_Focus,mean_aspect_ratio,3,0.557,0.1140000000000001,HIGH,10,50
02_Out_of_Focus,mean_aspect_ratio,4,0.635,0.27,HIGH,10,50
02_Out_of_Focus,mean_aspect_ratio,5,0.645,0.29000000000000004,HIGH,10,50
02_Out_of_Focus,mean_circularity,1,0.262,0.476,LOW,10,50
02_Out_of_Focus,mean_circularity,2,0.466,0.06799999999999995,LOW,10,50
02_Out_of_Focus,mean_circularity,3,0.337,0.32599999999999996,LOW,10,50
02_Out_of_Focus,mean_circularity,4,0.356,0.28800000000000003,LOW,10,50
02_Out_of_Focus,mean_circularity,5,0.38,0.24,LOW,10,50
02_Out_of_Focus,mean_fwhm,1,0.614,0.22799999999999998,HIGH,10,50
02_Out_of_Focus,mean_fwhm,2,0.692,0.3839999999999999,HIGH,10,50
02_Out_of_Focus,mean_fwhm,3,0.575,0.1499999999999999,HIGH,10,50
02_Out_of_Focus,mean_fwhm,4,0.632,0.264,HIGH,10,50
02_Out_of_Focus,mean_fwhm,5,0.452,0.09599999999999997,LOW,10,50
02_Out_of_Focus,mean_hfr,1,0.54,0.08000000000000007,HIGH,10,50
02_Out_of_Focus,mean_hfr,2,0.602,0.20399999999999996,HIGH,10,50
02_Out_of_Focus,mean_hfr,3,0.515,0.030000000000000027,HIGH,10,50
02_Out_of_Focus,mean_hfr,4,0.596,0.19199999999999995,HIGH,10,50
