class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,02_Out_of_Focus,median_hfr,2,0.65,0.30000000000000004,HIGH,10,10
01_Good,02_Out_of_Focus,median_hfr,3,0.72,0.43999999999999995,HIGH,10,10
01_Good,02_Out_of_Focus,median_hfr,4,0.58,0.15999999999999992,HIGH,10,10
01_Good,02_Out_of_Focus,median_hfr,5,0.71,0.41999999999999993,HIGH,10,10
01_Good,02_Out_of_Focus,saturated_ratio,1,0.8,0.6000000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,saturated_ratio,2,0.56,0.1200000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,saturated_ratio,3,0.75,0.5,HIGH,10,10
01_Good,02_Out_of_Focus,saturated_ratio,4,0.62,0.24,HIGH,10,10
01_Good,02_Out_of_Focus,saturated_ratio,5,0.535,0.07000000000000006,HIGH,10,10
01_Good,02_Out_of_Focus,sharpness,1,0.85,0.7,HIGH,10,10
01_Good,02_Out_of_Focus,sharpness,2,0.79,0.5800000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,sharpness,3,0.74,0.48,HIGH,10,10
01_Good,02_Out_of_Focus,sharpness,4,0.68,0.3600000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,sharpness,5,0.72,0.43999999999999995,HIGH,10,10
01_Good,02_Out_of_Focus,star_count,1,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,star_count,2,0.545,0.09000000000000008,HIGH,10,10
01_Good,02_Out_of_Focus,star_count,3,0.605,0.20999999999999996,HIGH,10,10
01_Good,02_Out_of_Focus,star_count,4,0.57,0.1399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,star_count,5,0.635,0.27,HIGH,10,10
01_Good,02_Out_of_Focus,std_intensity,1,0.91,0.8200000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,std_intensity,2,0.73,0.45999999999999996,HIGH,10,10
01_Good,02_Out_of_Focus,std_intensity,3,0.84,0.6799999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,std_intensity,4,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,std_intensity,5,0.72,0.43999999999999995,HIGH,10,10
01_Good,02_Out_of_Focus,streak_count,1,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,streak_count,2,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,streak_count,3,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,streak_count,4,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,streak_count,5,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,valid_profile_count,1,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,valid_profile_count,2,0.545,0.09000000000000008,HIGH,10,10
01_Good,02_Out_of_Focus,valid_profile_count,3,0.605,0.20999999999999996,HIGH,10,10
01_Good,02_Out_of_Focus,valid_profile_count,4,0.57,0.1399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,valid_profile_count,5,0.635,0.27,HIGH,10,10
01_Good,03_Tracking_Error,axis_aligned_line_ratio,1,0.53,0.06000000000000005,HIGH,10,10
01_Good,03_Tracking_Error,axis_aligned_line_ratio,2,0.43,0.14,LOW,10,10
01_Good,03_Tracking_Error,axis_aligned_line_ratio,3,0.41,0.18000000000000005,LOW,10,10
01_Good,03_Tracking_Error,axis_aligned_line_ratio,4,0.61,0.21999999999999997,HIGH,10,10
01_Good,03_Tracking_Error,axis_aligned_line_ratio,5,0.56,0.1200000000000001,HIGH,10,10
